priority,subsystem,part_group,item,qty,reference_spec_or_target,sourcing_strategy,candidate_source,source_url,status,key_questions,notes
29,Low voltage,Electrical architecture,12V battery,1,"Small AGM or LiFePO4 buffer battery with safe charge profile","Use common powersports/automotive battery sized by LV load and DCDC behavior","Thunderstruck Motors EV components","https://www.thunderstruck-ev.com/",discovered,"What reserve time is needed for hazards, unlock, and shutdown sequence?","LV battery chemistry affects DCDC setpoint."
30,Low voltage,Electrical architecture,12V fuse/relay box,1,"Serviceable fused branches and labeled relays","Use sealed automotive fuse/relay module; document every circuit","McMaster-Carr electrical and lighting","https://www.mcmaster.com/",discovered,"How many fused circuits are needed for lighting, wipers, pumps, VCU, dash, radio, and fans?","Keep low-voltage service separate from HV service."
31,Low voltage,Wiring,Low-voltage harness,1,"Automotive wire, sealed connectors where exposed, labeled service loops","Build prototype harness from documented connector families; mature to loom drawings","McMaster-Carr electrical and lighting","https://www.mcmaster.com/",discovered,"Which connectors are common to lights, dash, VCU, sensors, and body harness?","Harness documentation should become a repo artifact later."
32,Body/cab,Reference catalog,Kei donor parts diagrams,1 reference set,"Exploded diagrams for body, glass, seats, belts, lights, steering, brakes","Use Honda Acty HA4 diagrams as the first whole-truck checklist baseline","Honda-Acty.com HA4 parts diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",shortlisted,"Which donor generation best matches the target cab/bed proportions?","This is the strongest found example of a category-complete kei truck parts list."
33,Body/cab,Reference catalog,OEM/JDM parts catalog search,1 reference set,"Frame/model-specific part numbers and diagrams","Use Amayama, JP-CarParts, and EPC-data for cross-checking part names and assemblies","Amayama Suzuki Carry catalog","https://www.amayama.com/en/genuine-catalogs/epc/suzuki-japan/carry",discovered,"Which frame code should become the reference donor for geometry?","Good for part number discovery; availability must still be verified."
34,Body/cab,Reference catalog,Honda Acty EPC catalog,1 reference set,"Honda frame-code-specific parts lookup","Use to cross-check HA3/HA4/HA6/HA7 parts and diagrams","Honda EPC-data Acty Truck catalog","https://honda.epc-data.com/acty_truck/",discovered,"Which Acty frame has best fit to target cab, payload, and parts availability?","Useful companion to Honda-Acty.com diagrams."
35,Body/cab,Body panels,Cab shell panels and floor,1 set,"Simple sheet/tube cab structure; serviceable removable panels","Fabricate reference cab from sheet/tube; use donor diagrams for panel list","Honda Acty body diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"Which panels are structural versus bolt-on service panels?","Do not assume donor crashworthiness transfers to custom structure."
36,Body/cab,Body panels,Doors and hinges,2,"Latchable weather-sealed cab doors with serviceable glass","Use donor kei door hardware for first prototype or industrial hinges/latches for mule","McMaster-Carr door hardware","https://www.mcmaster.com/products/door-hardware/",discovered,"Can donor door latches, handles, regulators, and seals be sourced repeatably?","Door system includes hinges, check straps, handles, lock cylinders, striker plates, seals, and drains."
37,Body/cab,Body panels,Door handles and locks,1 set,"Exterior/interior handles, locks, striker plates","Use kei donor parts if using kei door geometry","Oiwa Garage kei truck parts","https://oiwagarage.co/",discovered,"Which handles are available new versus used, and can lock cylinders be keyed alike?","Include emergency interior release behavior in design."
38,Body/cab,Glass,Windshield,1,"DOT-marked laminated automotive glass if road use is pursued","Use existing kei windshield for prototype geometry or commission custom laminated glass","Auto Glass Japan Honda Acty windshields","https://autoglassjapan.com/category/honda/acty/",discovered,"Which windshield model gives best size/curvature and is available in the U.S. or export channel?","Honda Acty examples are listed around the target kei scale."
39,Body/cab,Glass,Suzuki Carry windshield alternate,1,"DOT-marked laminated automotive glass if road use is pursued","Use Carry glass if Suzuki cab proportions become reference","Auto Glass Japan Suzuki Carry windshields","https://autoglassjapan.com/category/suzuki/carry/",alternate,"Does Carry glass better match desired cab width and rake?","Glass often drives cab tooling decisions."
40,Body/cab,Glass,Custom laminated windshield path,1,"Prototype/custom glass with automotive safety documentation","Commission only after cab opening is frozen","Custom Glass Solutions laminated glass","https://www.customglasssolutions.com/laminated-glass-solutions/",alternate,"What tooling, minimum order, DOT mark, and lead time apply for custom windshield glass?","Custom glass is high leverage but can become expensive quickly."
41,Body/cab,Glass,Prototype/concept automotive glass path,1,"Complex laminated or tempered prototype glass","Use for concept/prototype if OEM kei glass does not fit","Metalcrafters glass fabrications","https://metalcrafters.com/glass-fabrications",alternate,"Can they produce small-run DOT-marked automotive glazing for a new vehicle?","Reserve for later design phase."
42,Body/cab,Glass,Door glass and rear glass,1 set,"Tempered side/rear glass or approved equivalent","Use minitruck replacement glass where geometry fits; custom later","Minitrucks.net body and glass","https://minitrucks.net/collections/body-glass",discovered,"Which door/rear glass sizes are stocked and what markings/certifications are present?","Include regulators, channels, run seals, and weatherstrips."
43,Body/cab,Weather sealing,Door/window weatherstrip and gaskets,1 set,"Water management, low wind noise, serviceable seals","Use donor seals for donor geometry; industrial push-on seals for flat panels","McMaster-Carr weatherstripping","https://www.mcmaster.com/products/weatherstripping/",discovered,"Which seals are automotive-weather suitable and compatible with paint and glass thickness?","Design doors around available seals, not the other way around."
44,Cargo bed,Bed structure,Metal bed floor,1,"Kei-scale flat bed, corrosion protected, tie-down capable","Fabricate from steel/aluminum sheet and formed ribs; use donor dimensions as reference","Online Metals raw materials","https://www.onlinemetals.com/",discovered,"Steel or aluminum for v0.1, and what gauge balances payload, cost, and corrosion?","Metal bed should be bolt-on/removable for pack and rear drivetrain service."
45,Cargo bed,Bed structure,Drop-side panels,2,"Fold-down side gates with latch and removable/repairable skins","Fabricate flat panels; use Suzuki/Honda latch patterns as inspiration","Honda Acty rear floor and gate diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"What bed side height and latch position are ergonomic for loading?","Replicate kei utility behavior rather than pickup-truck styling."
46,Cargo bed,Bed structure,Tailgate,1,"Fold-down tailgate with chains/cables and serviceable latch","Fabricate panel; source latches/hinges from mini-truck or truck-body suppliers","Mini4x4 body and interior parts","https://mini4x4.ca/store/en/body-and-interior-c74/?page=2",discovered,"Which tailgate latch/hinge family is available new and has acceptable load rating?","Mini4x4 lists Suzuki side/tailgate handles and bed hinge pieces."
47,Cargo bed,Bed hardware,Bed hinges,6+,"Drop-side and tailgate hinges, corrosion resistant","Use OEM-style kei hinges if geometry matches; otherwise truck/trailer hinges","McMaster-Carr truck hinges","https://www.mcmaster.com/products/truck-hinges/",discovered,"What hinge pin diameter, material, and service access are needed?","Avoid hidden hinges that trap dirt or cannot be replaced."
48,Cargo bed,Bed hardware,Gate latches and handles,6+,"Positive latch, easy glove operation, no accidental release","Use kei replacement latches first; industrial tailgate latches for custom panels","Mini4x4 body and interior parts","https://mini4x4.ca/store/en/body-and-interior-c74/?page=2",discovered,"Are latch bolt spacing and load ratings documented?","Suzuki Carry side/tailgate handles are a useful first pattern."
49,Cargo bed,Bed hardware,Tailgate chains/cables,2,"Limit tailgate opening and support light cargo while open","Use OEM kei chains if available or truck body cable supports","Buyers Products truck and trailer hardware","https://www.buyersproducts.com/catalog/truck-and-trailer-hardware-14?page=3",discovered,"What open-tailgate load case should be supported?","Include protective sleeves to avoid paint wear."
50,Cargo bed,Bed hardware,Stake pockets and tie-downs,as needed,"Cargo restraint points; bed accessory compatibility","Use truck-body hardware and weld/bolt-on pockets","Buyers Products truck and trailer hardware","https://www.buyersproducts.com/catalog/truck-and-trailer-hardware-14?page=3",discovered,"What tie-down load rating and spacing are required?","Bed accessories should be modular and replaceable."
51,Cargo bed,Bed protection,Rubber gate/bed protectors,1 set,"Protect high-wear bed rail and gate contact points","Use universal kei gate protectors or cut sheet rubber","Oiwa Garage rubber gate protectors","https://oiwagarage.co/products/rubber-gate-protectors-for-kei-trucks-daihatsu-suzuki-honda-mitsubishi-subaru-mazda-nissan",discovered,"Do protectors fit custom bed geometry or should we design a generic trim section?","Good low-cost wear item for work use."
52,Fabrication,Raw materials,Steel/aluminum tube and sheet,as needed,"Standard rectangular tube, sheet, tab-and-slot brackets","Use common stock sizes available from multiple suppliers","Online Metals raw materials","https://www.onlinemetals.com/",shortlisted,"Which minimum material catalog should the chassis standardize on?","Repo scope already prefers standard tube and sheet."
53,Fabrication,Fabrication services,Laser-cut sheet brackets and tabs,as needed,"DXF/STEP-driven repeatable plates and brackets","Use SendCutSend or similar for prototype tab-and-slot parts","SendCutSend tab and slot resources","https://sendcutsend.com/blog/tag/tab-and-slots/",shortlisted,"What tolerances and bend radii are needed for self-fixturing brackets?","Good fit for open-source repeatability."
54,Fabrication,Fabrication services,Laser tube cutting,as needed,"Repeatable chassis/bed tube cuts and slots","Use Xometry or local tube laser once CAD is stable","Xometry laser tube cutting","https://www.xometry.com/capabilities/laser-tube-cutting-services/",alternate,"Is cost acceptable versus simple saw/notch fabrication for community builds?","Use only where it improves repeatability enough to justify cost."
55,Fabrication,Design tools,Tube chassis fabrication software,1 optional,"Chassis/tube design, cut lists, bend data","Use only if tube chassis gets complex; CAD should remain exportable","Bend-Tech PRO","https://www.bend-tech.com/pro-software/",alternate,"Does the project need Bend-Tech-specific files or can STEP/DXF cover contributors?","Avoid locking open-source users into a paid tool."
56,Lighting,Required lighting,Headlamps,2,"FMVSS/DOT compliant if road use; durable 12V lamps","Use DOT sealed/LED units or OEM kei lamps only after compliance check","Buyers Products DOT truck and trailer lights","https://www.buyersproducts.com/catalog/lighting-5/dot-truck-and-trailer-336",discovered,"What lamp size/beam pattern fits the cab and target regulatory path?","Lighting placement needs FMVSS review before final body holes."
57,Lighting,Required lighting,Front turn signals/blinkers,2,"Amber, visible, hazard compatible","Use OEM kei assemblies or DOT universal lamps","Mini4x4 electrical and lighting","https://mini4x4.ca/store/en/electrical-and-lighting-c67/?limit=25&order=ASC&page=2&sort=pd.name",discovered,"Which lamp assemblies are available left/right and what connector do they use?","Mini4x4 lists Suzuki front turn signal kits and rear lamp assemblies."
58,Lighting,Required lighting,Side marker/clearance lamps and reflectors,as needed,"FMVSS path dependent, red/amber as required","Use DOT truck/trailer lamps and reflectors","Super Bright LEDs commercial truck/trailer lights","https://www.superbrightleds.com/vehicle-lights/commercial-truck-trailer-lights/truck-lights-lamps",discovered,"What exact reflector/lamp count is required for LSV versus full truck path?","Do not rely on styling lamps for compliance."
59,Lighting,Required lighting,Tail/stop/turn lamps,2,"Red stop/tail/turn, sealed, 12V","Use DOT universal truck lamps or kei replacement lamps","Truck-Lite 91244R example","https://www.unityparts.com/91244r-truck-lite-led-7-stop-turn-tail-light/",discovered,"Round/oval/kei-OEM packaging, and what connector/pigtail should be standardized?","Truck-Lite example lists FMVSS/CMVSS/DOT/SAE compliance family."
60,Lighting,Required lighting,Reverse lamps,1-2,"White reverse signal, sealed, 12V","Use DOT/commercial truck lamps","Buyers Products DOT truck and trailer lights","https://www.buyersproducts.com/catalog/lighting-5/dot-truck-and-trailer-336",discovered,"Is reverse lamp required for target classification and what switch source triggers it?","VCU gear state can drive reverse lamps."
61,Lighting,Required lighting,License plate lamp,1,"White plate illumination","Use DOT trailer/truck license lamp","Buyers Products DOT truck and trailer lights","https://www.buyersproducts.com/catalog/lighting-5/dot-truck-and-trailer-336",discovered,"Where does plate mount without conflicting with tailgate?","Include service access to bulb/connector."
62,Lighting,Controls,Hazard switch and flasher relay,1,"LED-compatible, 12V, visible telltale","Use automotive switch/relay compatible with selected lamps","Mini4x4 electrical and lighting","https://mini4x4.ca/store/en/electrical-and-lighting-c67/?limit=25&order=ASC&page=2&sort=pd.name",discovered,"Will the system use a conventional flasher, body controller, or VCU output?","LED lamps may require compatible relay or electronic body control."
63,Lighting,Required audible warning,Horn,1,"12V road horn, fused relay","Use universal automotive horn or donor kei horn","Honda Acty electrical diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"Where is horn protected from water but acoustically effective?","Acty diagrams include horn and relay category."
64,Visibility,Wipers,Windshield wiper motor/linkage/arms,1 set,"Two-speed or intermittent preferred; clears selected windshield","Use donor kei wiper system if windshield geometry matches","Yokohama Motors Suzuki DA62T/DA63T parts","https://yokohamamotors.net/page65.html",discovered,"Which motor/linkage works with chosen windshield width and cowl packaging?","Yokohama lists Suzuki wiper linkage and motor examples."
65,Visibility,Washer system,Washer tank/pump/nozzles,1 set,"12V washer pump and serviceable reservoir","Use donor kei or universal compact washer kit","Honda Acty electrical diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"Where can reservoir be filled without tilting cab or removing cargo?","Defrost/visibility path includes washers."
66,Visibility,Mirrors,Exterior mirrors,2,"Road-use visibility; foldaway preferred","Use kei replacement mirrors or universal commercial mirrors","Minitrucks.net body and glass","https://minitrucks.net/collections/body-glass",discovered,"Which mirror stalks fit the door/A-pillar design and provide rear visibility?","Minitrucks.net lists Suzuki and Daihatsu mirror examples."
67,Interior,Seats,Driver and passenger seats,2,"Compact, durable, low H-point, serviceable upholstery","Use compact off-road/commercial seats or donor kei seats after mounting review","PRP Seats","https://www.prpseats.com/",discovered,"What seat width, slider travel, head restraint, and mounting strength are required?","Do not assume aftermarket off-road seats satisfy road-use requirements."
68,Interior,Seats,Commercial seating alternate,2,"FMVSS-oriented commercial seating path if road certification is pursued","Ask commercial seat supplier about narrow cab-compatible seats","Freedman Seating","https://freedmanseating.com/",alternate,"Can any seat fit kei-width packaging and provide compliance documentation?","Likely more expensive but stronger evidence path."
69,Interior,Seat belts,3-point seat belts,2,"FMVSS 209 belts; anchorages designed/tested separately","Use FMVSS-labeled belts and design anchors to applicable requirements","Wesco Performance retractable seat belts","https://www.wescoperformance.com/resebe.html",discovered,"Which belt length/retractor orientation fits the cab and where are upper anchors located?","Seat belt assembly compliance is not the same as vehicle anchorage compliance."
70,Interior,Seat belts,Seat belt regulatory reference,1 reference,"FMVSS 209 for belt assemblies","Use eCFR as requirement source","eCFR 49 CFR 571.209","https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571/subpart-B/section-571.209",shortlisted,"Which additional standards apply to anchorages, seats, and head restraints for chosen vehicle path?","Track as compliance resource, not a supplier."
71,Interior,Steering,Steering wheel,1,"Compact wheel, horn integration, ergonomic reach","Use donor kei wheel/column or aftermarket wheel with compatible boss","Honda Acty steering wheel search baseline","https://www.ebay.com/shop/honda-acty-steering-wheel?_nkw=honda+acty+steering+wheel",discovered,"Which hub spline/column is selected and how is horn/airbag absence handled?","Marketplace listings are unverified but show donor availability."
72,Interior,Steering,Steering column and intermediate shaft,1,"Collapsible strategy, U-joints, firewall bearing, serviceable mounts","Use donor kei column for mule; engineer final collapsibility after regulatory path is clear","Honda Acty parts diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"Does target path require collapsible column testing or documentation?","Steering column is safety-critical; avoid casual parts-bin swaps."
73,Interior,Steering,Steering rack and tie rods,1 set,"Manual rack first; geometry-matched width and travel","Use kei replacement rack if suspension geometry follows donor dimensions","Mini4x4 steering parts","https://mini4x4.ca/store/en/steering-c66/",discovered,"Which rack length, travel, ratio, and inner pivot spacing match final suspension?","Mini4x4 lists Suzuki racks, tie rods, boots, and drag rods."
74,Interior,Steering,Custom rack alternate,1,"Custom rack dimensions if donor rack geometry fails","Use motorsport supplier only after geometry is calculated","Woodward Steering","https://www.woodwardsteering.com/",alternate,"What rack length, pinion angle, ratio, and load rating are needed?","Good technical path but less accessible than common donor parts."
75,Interior,Dashboard,Instrument panel and controls,1,"Simple serviceable dash, switch labels, telltales, fuse access","Use Acty dash categories as checklist; fabricate simple panel","Honda Acty equipment diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"Which controls/telltales are mandatory for chosen regulatory path?","Include drive selector, charge indicator, hazard, defrost, wiper, lights, and HV fault."
76,Interior,Radio,Single-DIN radio,1,"12V Bluetooth/FM, compact, optional weather-resistant","Use simple single-DIN head unit; marine unit if cab is work/washdown oriented","Kenwood marine/motorsports audio","https://www.kenwood.com/usa/car/marine/",discovered,"Is radio required in base BOM or optional accessory?","User asked for radio; keep it low-priority and modular."
77,Interior,Radio,Speakers and antenna,1 set,"Small sealed speakers and hidden/roof antenna","Use marine/UTV audio parts or donor kei speaker openings","MarineStereo single-DIN radios","https://www.marinestereo.com/category/din-size-boat-radios.html",discovered,"Where do speakers fit without stealing knee room or door water paths?","Radio should not complicate the electrical architecture."
78,Interior,Trim,"Floor mat, insulation, headliner, sun visors",1 set,"Durable work-truck trim, removable floor","Use donor patterns for checklist; fabricate simple washable trim","Honda Acty equipment diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"What trim is required for noise, heat, and occupant contact safety?","Keep prototype trim simple but do not ignore sharp-edge protection."
79,Brakes,Service brakes,Brake pedal and master cylinder,1,"Manual or boosted hydraulic system sized for vehicle mass","Use donor kei pedal/master for mule; re-size after final mass and tire radius","Honda Acty brake diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"What pedal ratio, bore size, and front/rear bias suit EV mass distribution?","Regenerative braking does not replace service brakes."
80,Brakes,Service brakes,Front brake assemblies,2,"Disc brakes preferred, service parts available","Use donor kei or compact car/UTV hubs/brakes after load review","Gold Star Parts mini truck parts","https://www.goldstarparts.com/",discovered,"Which rotor/caliper/pad family is available and rated for target mass?","Gold Star specializes in mini-truck brakes and related parts."
81,Brakes,Service brakes,Rear brake assemblies,2,"Drum or disc, parking brake integration","Use donor rear axle brakes if using donor axle","Honda Acty steering/brake/suspension diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"Does selected rear axle provide a simple parking brake path?","Parking brake compatibility may decide rear brake strategy."
